Nr. ,Name ,Wahlbe rechtigte,abgegeb. ,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,NEOS Stimmen,NEOS Ant. %,JETZT Stimmen,JETZT Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,KPÖ Stimmen,KPÖ Ant. %,SLP Stimmen,SLP Ant. %,WANDL Stimmen,WANDL Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40399,Wahlkarten Wels,0,4641,0,27,0.57999999999999996,4614,99.420000000000002,1416,30.690000000000001,1037,22.48,686,14.869999999999999,461,9.9900000000000002,52,1.1299999999999999,924,20.030000000000001,15,0.33000000000000002,1,0.02,22,0.47999999999999998,30.09.2019,13:44:45,30.09.2019,13:44:45
40400,Braunau,76045,55816,73.400000000000006,865,1.55,54951,98.450000000000003,23970,43.619999999999997,9335,16.989999999999998,11462,20.859999999999999,3349,6.0899999999999999,734,1.3400000000000001,5529,10.06,289,0.53000000000000003,17,0.029999999999999999,266,0.47999999999999998,29.09.2019,17:57:12,30.09.2019,15:46:49
40401,Altheim,3770,2356,62.490000000000002,42,1.78,2314,98.219999999999999,885,38.25,478,20.66,599,25.890000000000001,121,5.2300000000000004,26,1.1200000000000001,179,7.7400000000000002,11,0.47999999999999998,1,0.040000000000000001,14,0.60999999999999999,29.09.2019,15:22:28,29.09.2019,15:22:28
40402,Aspach,1998,1176,58.859999999999999,16,1.3600000000000001,1160,98.640000000000001,594,51.210000000000001,140,12.07,293,25.260000000000002,43,3.71,14,1.21,69,5.9500000000000002,5,0.42999999999999999,0,0,2,0.17000000000000001,29.09.2019,14:09:08,29.09.2019,14:09:08
40403,Auerbach,449,312,69.489999999999995,5,1.6000000000000001,307,98.400000000000006,148,48.210000000000001,20,6.5099999999999998,91,29.640000000000001,17,5.54,2,0.65000000000000002,28,9.1199999999999992,1,0.33000000000000002,0,0,0,0,29.09.2019,12:56:33,29.09.2019,12:56:33
40404,Braunau am Inn,11603,6271,54.049999999999997,85,1.3600000000000001,6186,98.640000000000001,1960,31.68,1555,25.140000000000001,1220,19.719999999999999,349,5.6399999999999997,127,2.0499999999999998,898,14.52,31,0.5,3,0.050000000000000003,43,0.69999999999999996,29.09.2019,17:57:12,29.09.2019,17:57:12
40405,Burgkirchen,2080,1326,63.75,21,1.5800000000000001,1305,98.420000000000002,621,47.590000000000003,179,13.720000000000001,290,22.219999999999999,71,5.4400000000000004,12,0.92000000000000004,124,9.5,4,0.31,0,0,4,0.31,29.09.2019,14:50:32,29.09.2019,14:50:32
40406,Eggelsberg,1852,1095,59.130000000000003,19,1.74,1076,98.260000000000005,485,45.07,140,13.01,256,23.789999999999999,79,7.3399999999999999,13,1.21,88,8.1799999999999997,8,0.73999999999999999,0,0,7,0.65000000000000002,29.09.2019,15:29:27,29.09.2019,15:29:27
40407,Feldkirchen bei Mattighofen,1604,1074,66.959999999999994,15,1.3999999999999999,1059,98.599999999999994,513,48.439999999999998,101,9.5399999999999991,300,28.329999999999998,39,3.6800000000000002,8,0.76000000000000001,91,8.5899999999999999,2,0.19,0,0,5,0.46999999999999997,29.09.2019,14:50:42,29.09.2019,14:50:42
40408,Franking,780,440,56.409999999999997,7,1.5900000000000001,433,98.409999999999997,212,48.960000000000001,40,9.2400000000000002,88,20.32,29,6.7000000000000002,8,1.8500000000000001,50,11.550000000000001,4,0.92000000000000004,0,0,2,0.46000000000000002,29.09.2019,12:53:53,29.09.2019,12:53:53
40409,Geretsberg,873,550,63,6,1.0900000000000001,544,98.909999999999997,289,53.130000000000003,51,9.3800000000000008,120,22.059999999999999,39,7.1699999999999999,4,0.73999999999999999,35,6.4299999999999997,3,0.55000000000000004,0,0,3,0.55000000000000004,29.09.2019,14:26:44,29.09.2019,14:26:44
40410,Gilgenberg am Weilhart,1041,658,63.210000000000001,6,0.91000000000000003,652,99.090000000000003,345,52.909999999999997,56,8.5899999999999999,161,24.690000000000001,42,6.4400000000000004,2,0.31,42,6.4400000000000004,1,0.14999999999999999,0,0,3,0.46000000000000002,29.09.2019,15:02:53,29.09.2019,15:02:53
40411,Haigermoos,486,327,67.280000000000001,5,1.53,322,98.469999999999999,174,54.039999999999999,36,11.18,60,18.629999999999999,14,4.3499999999999996,6,1.8600000000000001,30,9.3200000000000003,2,0.62,0,0,0,0,29.09.2019,13:34:43,29.09.2019,13:34:43
40412,Handenberg,1024,691,67.480000000000004,14,2.0299999999999998,677,97.969999999999999,369,54.509999999999998,62,9.1600000000000001,135,19.940000000000001,38,5.6100000000000003,8,1.1799999999999999,54,7.9800000000000004,6,0.89000000000000001,0,0,5,0.73999999999999999,29.09.2019,15:11:42,29.09.2019,15:11:42
40413,Helpfau-Uttendorf,2369,1411,59.560000000000002,22,1.5600000000000001,1389,98.439999999999998,631,45.43,231,16.629999999999999,326,23.469999999999999,73,5.2599999999999998,32,2.2999999999999998,83,5.9800000000000004,7,0.5,0,0,6,0.42999999999999999,29.09.2019,15:18:04,29.09.2019,15:18:04
40414,Hochburg-Ach,2211,1329,60.109999999999999,21,1.5800000000000001,1308,98.420000000000002,739,56.5,151,11.539999999999999,187,14.300000000000001,77,5.8899999999999997,11,0.83999999999999997,132,10.09,5,0.38,2,0.14999999999999999,4,0.31,29.09.2019,15:18:13,29.09.2019,15:18:13
40415,Höhnhart,1113,645,57.950000000000003,11,1.71,634,98.290000000000006,302,47.630000000000003,109,17.190000000000001,164,25.870000000000001,16,2.52,4,0.63,37,5.8399999999999999,2,0.32000000000000001,0,0,0,0,29.09.2019,14:09:18,29.09.2019,14:09:18
40416,Jeging,511,357,69.859999999999999,13,3.6400000000000001,344,96.359999999999999,180,52.329999999999998,47,13.66,80,23.260000000000002,17,4.9400000000000004,3,0.87,14,4.0700000000000003,2,0.57999999999999996,0,0,1,0.28999999999999998,29.09.2019,14:50:50,29.09.2019,14:50:50
40417,Kirchberg bei Mattighofen,932,618,66.310000000000002,11,1.78,607,98.219999999999999,338,55.68,48,7.9100000000000001,136,22.41,39,6.4299999999999997,9,1.48,35,5.7699999999999996,1,0.16,0,0,1,0.16,29.09.2019,14:50:59,29.09.2019,14:50:59
