PARTEI,WAHLKREIS,'29.09.19','15.10.17'
ÖVP,Pasching,1067,965
ÖVP,Perg,18136,16510
ÖVP,Luftenberg an der Donau,676,540
ÖVP,Eberschwang,575,471
ÖVP,Lambrechten,340,341
ÖVP,Lohnsburg am Kobernaußerwald,539,472
ÖVP,Mehrnbach,463,408
ÖVP,Neuhofen im Innkreis,490,448
ÖVP,Auberg,170,178
ÖVP,Traunkirchen,349,295
ÖVP,Aistersheim,161,184
ÖVP,Bad Schallerbach,598,654
ÖVP,Gallspach,359,380
ÖVP,Hofkirchen an der Trattnach,352,335
ÖVP,Steegen,273,274
ÖVP,Tollet,210,212
ÖVP,Wallern an der Trattnach,540,481
ÖVP,Nußbach,625,575
ÖVP,Wartberg an der Krems,682,679
ÖVP,Asten,797,675
ÖVP,Eggendorf im Traunkreis,202,187
ÖVP,St.Aegidi,484,442
ÖVP,Aurach am Hongar,330,261
ÖVP,Manning,193,164
ÖVP,Straß im Attergau,336,321
ÖVP,Sierning,1437,1347
ÖVP,Altenberg bei Linz,1197,1243
ÖVP,Reichenau im Mühlkreis,308,289
ÖVP,Kleinzell im Mühlkreis,389,362
ÖVP,Oepping,459,437
ÖVP,Peilstein im Mühlviertel,511,476
ÖVP,St.Ulrich im Mühlkreis,190,171
ÖVP,Sarleinsbach,738,690
ÖVP,Ulrichsberg,718,666
ÖVP,Esternberg,791,670
ÖVP,Lambach,437,370
ÖVP,Offenhausen,358,366
ÖVP,Pichl bei Wels,548,548
ÖVP,Schleißheim,273,249
ÖVP,Stadl-Paura,571,430
ÖVP,Steinhaus,422,333
ÖVP,Weißkirchen an der Traun,681,596
ÖVP,St.Georgen b. Obernberg am Inn,191,186
ÖVP,Schwand im Innkreis,264,228
ÖVP,Gutau,719,623
ÖVP,Liebenau,526,472
ÖVP,Pregarten,1107,990
ÖVP,Unterweißenbach,670,591
ÖVP,Windhaag bei Freistadt,453,439
ÖVP,Braunau am Inn,1960,21828
ÖVP,Hochburg-Ach,739,648
ÖVP,Kirchberg bei Mattighofen,338,271
ÖVP,St.Florian,1235,1261
ÖVP,Traun,2469,2281
ÖVP,Klam,187,172
ÖVP,Bad Kreuzen,702,660
ÖVP,Naarn im Machlande,894,801
ÖVP,Rechberg,355,347
ÖVP,St.Thomas am Blasenstein,329,320
ÖVP,Schwertberg,792,777
ÖVP,Windhaag bei Perg,409,373
ÖVP,Kirchdorf am Inn,185,172
ÖVP,Kirchheim im Innkreis,207,175
ÖVP,Mörschwang,94,102
ÖVP,Weilbach,182,159
ÖVP,Atzesberg,152,147
ÖVP,Bad Ischl,2043,1862
ÖVP,Gschwandt,604,551
ÖVP,Pinsdorf,602,511
ÖVP,Natternbach,596,521
ÖVP,Weibern,399,387
ÖVP,Kirchdorf an der Krems,559,12162
ÖVP,Molln,635,526
ÖVP,Schlierbach,537,474
ÖVP,Spital am Pyhrn,421,337
ÖVP,St.Florian am Inn,545,520
ÖVP,Schärding,16370,14621
ÖVP,Sigharting,240,222
ÖVP,Vichtenstein,183,142
ÖVP,Dietach,645,605
ÖVP,Garsten,1226,1133
ÖVP,Desselbrunn,354,346
ÖVP,Innerschwand,320,311
ÖVP,Lenzing,526,413
ÖVP,St.Lorenz,597,550
ÖVP,Schlatt,272,230
ÖVP,Tiefgraben,865,815
ÖVP,Maria Neustift,476,466
ÖVP,Pfarrkirchen bei Bad Hall,528,422
ÖVP,Bad Leonfelden,997,1044
ÖVP,Ottenschlag im Mühlkreis,151,138
ÖVP,Schenkenfelden,487,475
ÖVP,Sonnberg im Mühlkreis,213,207
ÖVP,Nebelberg,228,194
ÖVP,Neufelden,272,273
ÖVP,Neustift im Mühlkreis,411,434
ÖVP,St.Johann am Wimberg,250,248
ÖVP,St.Peter am Wimberg,575,556
ÖVP,St.Veit im Mühlkreis,367,329
ÖVP,Aigen-Schlägl,777,686
ÖVP,Eggerding,357,338
ÖVP,Wels-Land,15556,13637
ÖVP,Aichkirchen,164,149
ÖVP,Buchkirchen,698,637
ÖVP,Fischlham,312,308
ÖVP,Gunskirchen,1120,1018
ÖVP,Sattledt,477,441
ÖVP,St.Marienkirchen bei Schärding,445,381
ÖVP,Wels,13262,11749
ÖVP,Jeging,180,145
ÖVP,Fraham,414,371
ÖVP,Königswiesen,943,825
ÖVP,Tragwein,690,699
ÖVP,Mühlviertel,75139,69413
ÖVP,Aspach,594,524
ÖVP,Feldkirchen bei Mattighofen,513,429
ÖVP,Franking,212,194
ÖVP,Gilgenberg am Weilhart,345,309
ÖVP,Handenberg,369,340
ÖVP,Neuhofen an der Krems,880,825
ÖVP,St.Marien,900,878
ÖVP,Wilhering,1074,1076
ÖVP,Mauthausen,632,604
ÖVP,St.Nikola an der Donau,206,184
ÖVP,Mühlheim am Inn,137,135
ÖVP,St.Martin im Innkreis,280,295
ÖVP,Waldzell,511,447
